"variable" "activity_name" "subject_id" "mean(value)"
"fBodyAcc-Y" "SITTING" 28 -0.946351650416667
"fBodyAcc-Y" "SITTING" 29 -0.969609501666667
"fBodyAcc-Y" "SITTING" 30 -0.954076042258065
"fBodyAcc-Y" "STANDING" 1 -0.977070847735849
"fBodyAcc-Y" "STANDING" 2 -0.959871697407407
"fBodyAcc-Y" "STANDING" 3 -0.908075353770492
"fBodyAcc-Y" "STANDING" 4 -0.889549205
"fBodyAcc-Y" "STANDING" 5 -0.890796360535714
"fBodyAcc-Y" "STANDING" 6 -0.930336471754386
"fBodyAcc-Y" "STANDING" 7 -0.941883783773585
"fBodyAcc-Y" "STANDING" 8 -0.9500491
"fBodyAcc-Y" "STANDING" 9 -0.944849431777778
"fBodyAcc-Y" "STANDING" 10 -0.923378745227273
"fBodyAcc-Y" "STANDING" 11 -0.968703072553191
"fBodyAcc-Y" "STANDING" 12 -0.932775677704918
"fBodyAcc-Y" "STANDING" 13 -0.959427618245614
"fBodyAcc-Y" "STANDING" 14 -0.942178248333333
"fBodyAcc-Y" "STANDING" 15 -0.943348788679245
"fBodyAcc-Y" "STANDING" 16 -0.96931401525641
"fBodyAcc-Y" "STANDING" 17 -0.97417056948718
"fBodyAcc-Y" "STANDING" 18 -0.961239135479452
"fBodyAcc-Y" "STANDING" 19 -0.952872872465753
"fBodyAcc-Y" "STANDING" 20 -0.898194212465753
"fBodyAcc-Y" "STANDING" 21 -0.949694904269663
"fBodyAcc-Y" "STANDING" 22 -0.929161387619048
"fBodyAcc-Y" "STANDING" 23 -0.962831825294118
"fBodyAcc-Y" "STANDING" 24 -0.948970158405797
"fBodyAcc-Y" "STANDING" 25 -0.959846189054054
"fBodyAcc-Y" "STANDING" 26 -0.958402317837838
"fBodyAcc-Y" "STANDING" 27 -0.961356141125
"fBodyAcc-Y" "STANDING" 28 -0.893430392658228
"fBodyAcc-Y" "STANDING" 29 -0.973345770461538
"fBodyAcc-Y" "STANDING" 30 -0.919475121186441
"fBodyAcc-Y" "WALKING" 1 0.0897127264021053
"fBodyAcc-Y" "WALKING" 2 -0.0219048103322034
"fBodyAcc-Y" "WALKING" 3 -0.0813024353275862
"fBodyAcc-Y" "WALKING" 4 -0.14939963344
"fBodyAcc-Y" "WALKING" 5 0.00946037755178572
"fBodyAcc-Y" "WALKING" 6 0.140781621991228
"fBodyAcc-Y" "WALKING" 7 -0.0641564202736842
"fBodyAcc-Y" "WALKING" 8 0.316982393333333
"fBodyAcc-Y" "WALKING" 9 -0.257677616153846
"fBodyAcc-Y" "WALKING" 10 0.0533911909886792
"fBodyAcc-Y" "WALKING" 11 -0.0830478435976271
"fBodyAcc-Y" "WALKING" 12 -0.071302455092
"fBodyAcc-Y" "WALKING" 13 0.0955150666694737
"fBodyAcc-Y" "WALKING" 14 -0.174601844847458
"fBodyAcc-Y" "WALKING" 15 0.111321097159074
"fBodyAcc-Y" "WALKING" 16 -0.321500667843137
"fBodyAcc-Y" "WALKING" 17 -0.0650267622126229
"fBodyAcc-Y" "WALKING" 18 -0.24360627125
"fBodyAcc-Y" "WALKING" 19 0.169258575663077
"fBodyAcc-Y" "WALKING" 20 0.403465950921569
"fBodyAcc-Y" "WALKING" 21 0.0338465813711538
"fBodyAcc-Y" "WALKING" 22 0.145367520371739
"fBodyAcc-Y" "WALKING" 23 -0.0724367317966102
"fBodyAcc-Y" "WALKING" 24 -0.203193741396552
"fBodyAcc-Y" "WALKING" 25 -0.251880271094595
"fBodyAcc-Y" "WALKING" 26 -0.146702156576271
"fBodyAcc-Y" "WALKING" 27 -0.13678354122807
"fBodyAcc-Y" "WALKING" 28 -0.127912276044444
"fBodyAcc-Y" "WALKING" 29 -0.0349642325433962
"fBodyAcc-Y" "WALKING" 30 -0.193856663907692
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 1 0.00154990783591837
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 2 0.278345041765957
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 3 -0.00770048300204082
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 4 -0.129606639466667
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 5 0.0792280694042553
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 6 0.339771173822917
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 7 -0.145302311446808
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 8 0.388412779763158
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 9 -0.183120455428571
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 10 0.00904660360263158
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 11 0.0247508134326087
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 12 0.150510001156522
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 13 -0.0364535247659574
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 14 0.3714824704
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 15 0.167518099964286
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 16 -0.134598352726809
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 17 -0.130272514565217
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 18 -0.309049613818182
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 19 0.494457802230769
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 20 0.524187686888889
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 21 0.181138042506667
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 22 0.225766560777778
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 23 0.0959432893981482
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 24 -0.0861829752472727
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 25 -0.196381053741379
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 26 -0.006237000044
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 27 -0.0626729573068182
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 28 0.186441733869565
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 29 -0.02122937175
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 30 -0.0216637054241935
"fBodyAcc-Y" "WALKING_UPSTAIRS" 1 -0.190976720811321
"fBodyAcc-Y" "WALKING_UPSTAIRS" 2 0.00992445881854167
"fBodyAcc-Y" "WALKING_UPSTAIRS" 3 -0.0788094156644068
"fBodyAcc-Y" "WALKING_UPSTAIRS" 4 -0.117109161492308
"fBodyAcc-Y" "WALKING_UPSTAIRS" 5 0.0728903158085106
"fBodyAcc-Y" "WALKING_UPSTAIRS" 6 0.0978035099588235
"fBodyAcc-Y" "WALKING_UPSTAIRS" 7 -0.381590523137255
"fBodyAcc-Y" "WALKING_UPSTAIRS" 8 0.263431399878049
"fBodyAcc-Y" "WALKING_UPSTAIRS" 9 -0.405022798163265
"fBodyAcc-Y" "WALKING_UPSTAIRS" 10 -0.0390688222212766
"fBodyAcc-Y" "WALKING_UPSTAIRS" 11 -0.254645206944444
"fBodyAcc-Y" "WALKING_UPSTAIRS" 12 -0.168341519859615
"fBodyAcc-Y" "WALKING_UPSTAIRS" 13 -0.0636564765818182
"fBodyAcc-Y" "WALKING_UPSTAIRS" 14 0.0163939234574074
"fBodyAcc-Y" "WALKING_UPSTAIRS" 15 -0.1019354328
"fBodyAcc-Y" "WALKING_UPSTAIRS" 16 -0.268063812745098
"fBodyAcc-Y" "WALKING_UPSTAIRS" 17 -0.1175197356
"fBodyAcc-Y" "WALKING_UPSTAIRS" 18 -0.363450742586207
"fBodyAcc-Y" "WALKING_UPSTAIRS" 19 0.111818164225
"fBodyAcc-Y" "WALKING_UPSTAIRS" 20 -0.0293832440223529
"fBodyAcc-Y" "WALKING_UPSTAIRS" 21 0.0221598658106383
"fBodyAcc-Y" "WALKING_UPSTAIRS" 22 0.13068653882619
"fBodyAcc-Y" "WALKING_UPSTAIRS" 23 -0.0769773944803922
"fBodyAcc-Y" "WALKING_UPSTAIRS" 24 -0.252412541966102
"fBodyAcc-Y" "WALKING_UPSTAIRS" 25 -0.380150805384615
"fBodyAcc-Y" "WALKING_UPSTAIRS" 26 -0.185528313272727
"fBodyAcc-Y" "WALKING_UPSTAIRS" 27 -0.249688517843137
"fBodyAcc-Y" "WALKING_UPSTAIRS" 28 -0.190589069119608
"fBodyAcc-Y" "WALKING_UPSTAIRS" 29 -0.196011503540816
"fBodyAcc-Y" "WALKING_UPSTAIRS" 30 -0.297813768569231
"fBodyAcc-Z" "LAYING" 1 -0.8826668762
"fBodyAcc-Z" "LAYING" 2 -0.984380981875
"fBodyAcc-Z" "LAYING" 3 -0.968332141612903
"fBodyAcc-Z" "LAYING" 4 -0.967504278888889
"fBodyAcc-Z" "LAYING" 5 -0.977007724615385
"fBodyAcc-Z" "LAYING" 6 -0.938044912280702
"fBodyAcc-Z" "LAYING" 7 -0.958611644615385
"fBodyAcc-Z" "LAYING" 8 -0.944269514074074
"fBodyAcc-Z" "LAYING" 9 -0.9459190006
"fBodyAcc-Z" "LAYING" 10 -0.964300845172414
"fBodyAcc-Z" "LAYING" 11 -0.973576812807018
"fBodyAcc-Z" "LAYING" 12 -0.954724801666667
"fBodyAcc-Z" "LAYING" 13 -0.966295582741935
"fBodyAcc-Z" "LAYING" 14 -0.927882307058824
"fBodyAcc-Z" "LAYING" 15 -0.95156594625
"fBodyAcc-Z" "LAYING" 16 -0.974580069142857
"fBodyAcc-Z" "LAYING" 17 -0.965406091549296
"fBodyAcc-Z" "LAYING" 18 -0.988606906307692
"fBodyAcc-Z" "LAYING" 19 -0.985340447349398
"fBodyAcc-Z" "LAYING" 20 -0.976392651323529
"fBodyAcc-Z" "LAYING" 21 -0.961772190555556
"fBodyAcc-Z" "LAYING" 22 -0.954219235555556
"fBodyAcc-Z" "LAYING" 23 -0.977515213888889
"fBodyAcc-Z" "LAYING" 24 -0.976634815694444
"fBodyAcc-Z" "LAYING" 25 -0.816197953561644
"fBodyAcc-Z" "LAYING" 26 -0.984923123552632
"fBodyAcc-Z" "LAYING" 27 -0.987356589864865
"fBodyAcc-Z" "LAYING" 28 -0.961115672375
"fBodyAcc-Z" "LAYING" 29 -0.989473926666667
"fBodyAcc-Z" "LAYING" 30 -0.970321991714286
"fBodyAcc-Z" "SITTING" 1 -0.959184889148936
"fBodyAcc-Z" "SITTING" 2 -0.970162172608696
"fBodyAcc-Z" "SITTING" 3 -0.917987925384615
"fBodyAcc-Z" "SITTING" 4 -0.9517837432
"fBodyAcc-Z" "SITTING" 5 -0.946064216818182
"fBodyAcc-Z" "SITTING" 6 -0.935798115272727
"fBodyAcc-Z" "SITTING" 7 -0.904675337916667
"fBodyAcc-Z" "SITTING" 8 -0.959436275869565
"fBodyAcc-Z" "SITTING" 9 -0.8922013438
"fBodyAcc-Z" "SITTING" 10 -0.97464465462963
"fBodyAcc-Z" "SITTING" 11 -0.972855110377359
"fBodyAcc-Z" "SITTING" 12 -0.954626628823529
"fBodyAcc-Z" "SITTING" 13 -0.956183063510204
"fBodyAcc-Z" "SITTING" 14 -0.944126078888889
"fBodyAcc-Z" "SITTING" 15 -0.963227004915254
"fBodyAcc-Z" "SITTING" 16 -0.959552230434783
"fBodyAcc-Z" "SITTING" 17 -0.97484160453125
"fBodyAcc-Z" "SITTING" 18 -0.982996441403509
"fBodyAcc-Z" "SITTING" 19 -0.96633509109589
"fBodyAcc-Z" "SITTING" 20 -0.947597457121212
"fBodyAcc-Z" "SITTING" 21 -0.970859342941176
"fBodyAcc-Z" "SITTING" 22 -0.946635312419355
"fBodyAcc-Z" "SITTING" 23 -0.942031166764706
"fBodyAcc-Z" "SITTING" 24 -0.966991781176471
"fBodyAcc-Z" "SITTING" 25 -0.974776131230769
"fBodyAcc-Z" "SITTING" 26 -0.967519149358974
"fBodyAcc-Z" "SITTING" 27 -0.974665817
"fBodyAcc-Z" "SITTING" 28 -0.952226786666667
"fBodyAcc-Z" "SITTING" 29 -0.975623030833333
"fBodyAcc-Z" "SITTING" 30 -0.966274090645161
"fBodyAcc-Z" "STANDING" 1 -0.985297098679245
"fBodyAcc-Z" "STANDING" 2 -0.962471195740741
"fBodyAcc-Z" "STANDING" 3 -0.939507735245902
"fBodyAcc-Z" "STANDING" 4 -0.93164342125
"fBodyAcc-Z" "STANDING" 5 -0.915083799107143
"fBodyAcc-Z" "STANDING" 6 -0.942864017017544
"fBodyAcc-Z" "STANDING" 7 -0.938550519811321
"fBodyAcc-Z" "STANDING" 8 -0.950362935555556
"fBodyAcc-Z" "STANDING" 9 -0.941686874222222
"fBodyAcc-Z" "STANDING" 10 -0.955272383863636
"fBodyAcc-Z" "STANDING" 11 -0.987669785531915
"fBodyAcc-Z" "STANDING" 12 -0.947178200163934
"fBodyAcc-Z" "STANDING" 13 -0.97756730122807
